synthetic_claim,text,label,speaker,subject,context,conditioning_prompt,true_counts,mostly_true_counts,half_true_counts,mostly_false_counts,false_counts,pants_on_fire_counts
"Photo shows a group of Ukrainian soldiers attacking NATO tanks. The photo was taken in Ukraine and is now being used as evidence against the Russians during their invasion campaign to stop it from spreading online, according to sources close at large on both sides. This is not what happened with Russias attack videos going live after they were posted for sharing across social media platforms worldwide over two weeks ago today!","Photo shows a group of Ukrainian soldiers attacking NATO tanks. The photo was taken in Ukraine and is now being used as evidence against the Russians during their invasion campaign to stop it from spreading online, according to sources close at large on both sides. This is not what happened with Russias attack videos going live after they were posted for sharing across social media platforms worldwide over two weeks ago today!

[METADATA] speaker: viral image | subject: facebook fact-checks;ukraine | context: an Instagram post",0,viral image,facebook fact-checks;ukraine,an Instagram post,"[CONDITION] Label: FAKE | Speaker: viral image | Subject: facebook fact-checks;ukraine | Context: an Instagram post
[CLAIM]",0.003487358335405588,0.01133391447365284,0.030514385551214218,0.046207498759031296,0.6198779344558716,0.28857889771461487
"Says President Barack Obama said, ""We're going to be the first president in American History that did not have an issue with slavery. It was never acceptable for us and America's people before me"" (2000). He also tweeted about his presidential background saying he has no experience as governor of Florida or mayor city council member since 2016-2021 but is now running again after winning reelection!","Says President Barack Obama said, ""We're going to be the first president in American History that did not have an issue with slavery. It was never acceptable for us and America's people before me"" (2000). He also tweeted about his presidential background saying he has no experience as governor of Florida or mayor city council member since 2016-2021 but is now running again after winning reelection!

[METADATA] speaker: facebook posts | subject: history;facebook fact-checks | context: a post",0,facebook posts,history;facebook fact-checks,a post,"[CONDITION] Label: FAKE | Speaker: facebook posts | Subject: history;facebook fact-checks | Context: a post
[CLAIM]",0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"The FBI is ""getting involved"" in the murder of 2 women and children. They are trying to stop them from getting married, they have been arrested for their involvement with this plot so far! 💔👰‍♀️❤️ #FBIHunter!!","The FBI is ""getting involved"" in the murder of 2 women and children. They are trying to stop them from getting married, they have been arrested for their involvement with this plot so far! 💔👰‍♀️❤️ #FBIHunter!!

[METADATA] speaker: facebook posts | subject: crime;facebook fact-checks | context: a Facebook post",0,facebook posts,crime;facebook fact-checks,a Facebook post,"[CONDITION] Label: FAKE | Speaker: facebook posts | Subject: crime;facebook fact-checks | Context: a Facebook post
[CLAIM]",0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"The federal government has ""never been able to solve the housing crisis. It's not even possible for us, as states and local governments are trying very hard in this country that we can't do it right now,"" because they have never succeeded at solving their own problem of low rates.","The federal government has ""never been able to solve the housing crisis. It's not even possible for us, as states and local governments are trying very hard in this country that we can't do it right now,"" because they have never succeeded at solving their own problem of low rates.

[METADATA] speaker: theresa price | subject: bankruptcy;economy;housing;government regulation;poverty;states | context: a speech during a rally on homelessness",0,theresa price,bankruptcy;economy;housing;government regulation;poverty;states,a speech during a rally on homelessness,"[CONDITION] Label: FAKE | Speaker: theresa price | Subject: bankruptcy;economy;housing;government regulation;poverty;states | Context: a speech during a rally on homelessness
[CLAIM]",0.0,0.0,0.0,0.0,1.0,0.0
"Says House Democrats are going to vote for the Trump administration's plan and give up their rights. They will be forced into an illegal government that has no laws, can't run elections or speak freely in public. In addition they have signed off on President Donald J Obama’s COVID-19 shutdown policy by signing his signature before it was approved! This is NOT what happened when he took office!","Says House Democrats are going to vote for the Trump administration's plan and give up their rights. They will be forced into an illegal government that has no laws, can't run elections or speak freely in public. In addition they have signed off on President Donald J Obama’s COVID-19 shutdown policy by signing his signature before it was approved! This is NOT what happened when he took office!

[METADATA] speaker: facebook posts | subject: congress;facebook fact-checks;coronavirus | context: a Facebook post",0,facebook posts,congress;facebook fact-checks;coronavirus,a Facebook post,"[CONDITION] Label: FAKE | Speaker: facebook posts | Subject: congress;facebook fact-checks;coronavirus | Context: a Facebook post
[CLAIM]",0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"Says Scott Walker has not opposed the use of marijuana on veterans. He supports it and is in favor for its safety benefits, even if hes against growing recreational drug cultivation to protect his own money from addiction-related expenses such as medical bills or lost wages at work that could be used instead.","Says Scott Walker has not opposed the use of marijuana on veterans. He supports it and is in favor for its safety benefits, even if hes against growing recreational drug cultivation to protect his own money from addiction-related expenses such as medical bills or lost wages at work that could be used instead.

[METADATA] speaker: freedom partners action fund | subject: drugs;public health;veterans | context: a TV ad",0,freedom partners action fund,drugs;public health;veterans,a TV ad,"[CONDITION] Label: FAKE | Speaker: freedom partners action fund | Subject: drugs;public health;veterans | Context: a TV ad
[CLAIM]",0.25,0.0,0.25,0.25,0.25,0.0
"Says Joe Biden said, ""I have never been to the bar. I've only ever attended 2-3 bars in my lifetime."" He also says he's not drunk on beer or whiskey because they're legal under federal law and state laws but illegal for him personally if you ask questions about it!","Says Joe Biden said, ""I have never been to the bar. I've only ever attended 2-3 bars in my lifetime."" He also says he's not drunk on beer or whiskey because they're legal under federal law and state laws but illegal for him personally if you ask questions about it!

[METADATA] speaker: viral image | subject: alcohol;candidate biography;facebook fact-checks | context: a Facebook post",0,viral image,alcohol;candidate biography;facebook fact-checks,a Facebook post,"[CONDITION] Label: FAKE | Speaker: viral image | Subject: alcohol;candidate biography;facebook fact-checks | Context: a Facebook post
[CLAIM]",0.003487358335405588,0.01133391447365284,0.030514385551214218,0.046207498759031296,0.6198779344558716,0.28857889771461487
"Says former Gov. Tom Scott has been in the Senate for 14 years and has voted to cut Social Security benefits by $1,000 per year since he took office at Ohios capital city of Cleveland last fall. He also supported breaking up welfare programs that helped immigrants with their children from being required under federal law during his time as governor before becoming mayor when serving two terms over three decades ago.","Says former Gov. Tom Scott has been in the Senate for 14 years and has voted to cut Social Security benefits by $1,000 per year since he took office at Ohios capital city of Cleveland last fall. He also supported breaking up welfare programs that helped immigrants with their children from being required under federal law during his time as governor before becoming mayor when serving two terms over three decades ago.

[METADATA] speaker: onward ohio | subject: immigration;social security | context: a TV ad",0,onward ohio,immigration;social security,a TV ad,"[CONDITION] Label: FAKE | Speaker: onward ohio | Subject: immigration;social security | Context: a TV ad
[CLAIM]",0.0,0.0,0.0,1.0,0.0,0.0
"Says President Barack Obama said, ""Its time for the American people to be taught that they are not only white but also black. It is important we learn from our past so all Americans can come together as one nation of equal opportunity citizens.""","Says President Barack Obama said, ""Its time for the American people to be taught that they are not only white but also black. It is important we learn from our past so all Americans can come together as one nation of equal opportunity citizens.""

[METADATA] speaker: facebook posts | subject: history;race and ethnicity;facebook fact-checks | context: a Facebook post",0,facebook posts,history;race and ethnicity;facebook fact-checks,a Facebook post,"[CONDITION] Label: FAKE | Speaker: facebook posts | Subject: history;race and ethnicity;facebook fact-checks | Context: a Facebook post
[CLAIM]",0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"The COVID-19 vaccine is a money laundering scheme. It's designed to make money for the government, not people who need it most, and they're using fake test results in their country of origin as proof that vaccines are working against them! They also claim there was no actual risk from this virus because we had 1 million cases before vaccination started so now you have millions more deaths after getting vaccinated again!","The COVID-19 vaccine is a money laundering scheme. It's designed to make money for the government, not people who need it most, and they're using fake test results in their country of origin as proof that vaccines are working against them! They also claim there was no actual risk from this virus because we had 1 million cases before vaccination started so now you have millions more deaths after getting vaccinated again!

[METADATA] speaker: instagram posts | subject: coronavirus | context: an Instagram post",0,instagram posts,coronavirus,an Instagram post,"[CONDITION] Label: FAKE | Speaker: instagram posts | Subject: coronavirus | Context: an Instagram post
[CLAIM]",0.00486223679035902,0.00486223679035902,0.024311183020472527,0.08265802264213562,0.6564019322395325,0.22690437734127045
