synthetic_claim,text,label,speaker,subject,context,conditioning_metadata,true_counts,mostly_true_counts,half_true_counts,mostly_false_counts,false_counts,pants_on_fire_counts
trump's proposed police has received more likelyat the white house bill o'brien aren't voting.,"trump's proposed police has received more likelyat the white house bill o'brien aren't voting.

[METADATA] speaker: thom tillis | subject: after the fact;congress;criminal justice;history;crime;public safety | context: a press release supporting the Back The Blue Act of 2017",0,thom tillis,after the fact;congress;criminal justice;history;crime;public safety,a press release supporting the Back The Blue Act of 2017,speaker: thom tillis | subject: after the fact;congress;criminal justice;history;crime;public safety | context: a press release supporting the Back The Blue Act of 2017,0.0,0.1428571492433548,0.5,0.2142857164144516,0.1428571492433548,0.0
"says his tax cut law, the number of irs is moving to be martial income tax cuts.","says his tax cut law, the number of irs is moving to be martial income tax cuts.

[METADATA] speaker: chris christie | subject: taxes | context: Boulder, Colo",0,chris christie,taxes,"Boulder, Colo","speaker: chris christie | subject: taxes | context: Boulder, Colo",0.20192307233810425,0.19230769574642181,0.25961539149284363,0.10576923191547394,0.16346153616905212,0.07692307978868484
"says the irs at least 15, 000 a federal governmentand is a fortune from an independent.","says the irs at least 15, 000 a federal governmentand is a fortune from an independent.

[METADATA] speaker: mitt romney | subject: federal budget;history;medicare;retirement | context: an interview on ""60 Minutes""",0,mitt romney,federal budget;history;medicare;retirement,"an interview on ""60 Minutes""","speaker: mitt romney | subject: federal budget;history;medicare;retirement | context: an interview on ""60 Minutes""",0.14903846383094788,0.1586538404226303,0.2788461446762085,0.16826923191547394,0.1538461595773697,0.09134615212678909
amazons was bornto the lowest level in florida just like illegal aliens.,"amazons was bornto the lowest level in florida just like illegal aliens.

[METADATA] speaker: facebook posts | subject: facebook fact-checks;coronavirus | context: a video on Facebook",0,facebook posts,facebook fact-checks;coronavirus,a video on Facebook,speaker: facebook posts | subject: facebook fact-checks;coronavirus | context: a video on Facebook,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
every single candidate have voted to cut $ 1. 5 million of dollars in federal workers.,"every single candidate have voted to cut $ 1. 5 million of dollars in federal workers.

[METADATA] speaker: mike schaufler | subject: education;message machine 2012;voting record | context: campaign mailer",0,mike schaufler,education;message machine 2012;voting record,campaign mailer,speaker: mike schaufler | subject: education;message machine 2012;voting record | context: campaign mailer,0.0,0.0,0.0,1.0,0.0,0.0
tylenol has passed a new york timesto get rid (and) mandates could be.,"tylenol has passed a new york timesto get rid (and) mandates could be.

[METADATA] speaker: ainsley earhardt | subject: public health;punditfact;coronavirus | context: the Fox & Friends show",0,ainsley earhardt,public health;punditfact;coronavirus,the Fox & Friends show,speaker: ainsley earhardt | subject: public health;punditfact;coronavirus | context: the Fox & Friends show,0.0,0.0,0.0,0.0,1.0,0.0
"says north carolina in 2010, isno longer to be the money.","says north carolina in 2010, isno longer to be the money.

[METADATA] speaker: national republican senatorial committee | subject: immigration | context: a digital ad",0,national republican senatorial committee,immigration,a digital ad,speaker: national republican senatorial committee | subject: immigration | context: a digital ad,0.018518518656492233,0.0555555559694767,0.20370370149612427,0.3333333432674408,0.25925925374031067,0.12962962687015533
my opponent took office. hes still took more money from the government to use their lives.,"my opponent took office. hes still took more money from the government to use their lives.

[METADATA] speaker: loretta weinberg | subject: candidate biography | context: a column on Blue Jersey",0,loretta weinberg,candidate biography,a column on Blue Jersey,speaker: loretta weinberg | subject: candidate biography | context: a column on Blue Jersey,0.4285714328289032,0.1428571492433548,0.0,0.1428571492433548,0.2857142984867096,0.0
video showsnon - owned gun owners to be one of the military order.,"video showsnon - owned gun owners to be one of the military order.

[METADATA] speaker: instagram posts | subject: drugs;facebook fact-checks | context: an Instagram post",0,instagram posts,drugs;facebook fact-checks,an Instagram post,speaker: instagram posts | subject: drugs;facebook fact-checks | context: an Instagram post,0.00486223679035902,0.00486223679035902,0.024311183020472527,0.08265802264213562,0.6564019322395325,0.22690437734127045
republican senate candidate obama was offered out of state government pay in the state of a union.,"republican senate candidate obama was offered out of state government pay in the state of a union.

[METADATA] speaker: barack obama | subject: deficit;federal budget;history | context: Cleveland, Ohio",0,barack obama,deficit;federal budget;history,"Cleveland, Ohio","speaker: barack obama | subject: deficit;federal budget;history | context: Cleveland, Ohio",0.20563846826553345,0.27363184094429016,0.2703150808811188,0.11774460971355438,0.11774460971355438,0.014925372786819935
georgia county didnt vote in early county presidential election as they got the same as attorney general.,"georgia county didnt vote in early county presidential election as they got the same as attorney general.

[METADATA] speaker: john mccain | subject: elections | context: remarks by chief strategist Steve Schmidt",0,john mccain,elections,remarks by chief strategist Steve Schmidt,speaker: john mccain | subject: elections | context: remarks by chief strategist Steve Schmidt,0.20108695328235626,0.20108695328235626,0.16847826540470123,0.17391304671764374,0.21195651590824127,0.043478261679410934
says wisconsin residents have been thehighest graduation rate of state lines were gone to a black man.,"says wisconsin residents have been thehighest graduation rate of state lines were gone to a black man.

[METADATA] speaker: peter feigin | subject: population;sports | context: Twitter",0,peter feigin,population;sports,Twitter,speaker: peter feigin | subject: population;sports | context: Twitter,0.0,0.0,0.0,0.5,0.5,0.0
photo shows a dog - wing group feeding the cameraso they can be impeached.,"photo shows a dog - wing group feeding the cameraso they can be impeached.

[METADATA] speaker: viral image | subject: facebook fact-checks | context: a Facebook post",0,viral image,facebook fact-checks,a Facebook post,speaker: viral image | subject: facebook fact-checks | context: a Facebook post,0.003487358335405588,0.01133391447365284,0.030514385551214218,0.046207498759031296,0.6198779344558716,0.28857889771461487
it says florida toeliminate health care. (a) health care plan.,"it says florida toeliminate health care. (a) health care plan.

[METADATA] speaker: barack obama | subject: health care | context: a Fox television interview",0,barack obama,health care,a Fox television interview,speaker: barack obama | subject: health care | context: a Fox television interview,0.20563846826553345,0.27363184094429016,0.2703150808811188,0.11774460971355438,0.11774460971355438,0.014925372786819935
suggests report that may be transmitted to avoid new yorkin the early states.,"suggests report that may be transmitted to avoid new yorkin the early states.

[METADATA] speaker: instagram posts | subject: public health;facebook fact-checks;coronavirus | context: an Instagram post",0,instagram posts,public health;facebook fact-checks;coronavirus,an Instagram post,speaker: instagram posts | subject: public health;facebook fact-checks;coronavirus | context: an Instagram post,0.00486223679035902,0.00486223679035902,0.024311183020472527,0.08265802264213562,0.6564019322395325,0.22690437734127045
bill gates and her house is thefirst time of covid - 19 to go to rising.,"bill gates and her house is thefirst time of covid - 19 to go to rising.

[METADATA] speaker: facebook posts | subject: climate change;facebook fact-checks | context: a Facebook post",0,facebook posts,climate change;facebook fact-checks,a Facebook post,speaker: facebook posts | subject: climate change;facebook fact-checks | context: a Facebook post,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"wisconsin arrested in november valley, he wasno way down from the night in washington, and no media to be edited.","wisconsin arrested in november valley, he wasno way down from the night in washington, and no media to be edited.

[METADATA] speaker: bloggers | subject: fake news | context: a post on the Internet",0,bloggers,fake news,a post on the Internet,speaker: bloggers | subject: fake news | context: a post on the Internet,0.01092896144837141,0.02459016442298889,0.032786883413791656,0.07240436971187592,0.31830599904060364,0.5409836173057556
"says his voted against slavery, the same reed that were taken away.","says his voted against slavery, the same reed that were taken away.

[METADATA] speaker: john mccain | subject: candidate biography | context: a TV ad",0,john mccain,candidate biography,a TV ad,speaker: john mccain | subject: candidate biography | context: a TV ad,0.20108695328235626,0.20108695328235626,0.16847826540470123,0.17391304671764374,0.21195651590824127,0.043478261679410934
georgia is now and lobbied to make all the oil companies and gas.,"georgia is now and lobbied to make all the oil companies and gas.

[METADATA] speaker: donald trump | subject: energy | context: Roanoke, Va",0,donald trump,energy,"Roanoke, Va","speaker: donald trump | subject: energy | context: Roanoke, Va",0.03696098551154137,0.08726899325847626,0.12320328503847122,0.19917865097522736,0.36960986256599426,0.18377824127674103
only republican leadership in the state senatethat actually passed one of and amnesty.,"only republican leadership in the state senatethat actually passed one of and amnesty.

[METADATA] speaker: david axelrod | subject: elections | context: an interview on NBC",0,david axelrod,elections,an interview on NBC,speaker: david axelrod | subject: elections | context: an interview on NBC,0.1111111119389534,0.3888888955116272,0.3333333432674408,0.1111111119389534,0.0555555559694767,0.0
"if you are seeing one single day, while we know a few weeks ever ever.","if you are seeing one single day, while we know a few weeks ever ever.

[METADATA] speaker: gretchen carlson | subject: polls and public opinion;punditfact | context: a ""Gretchen's Take"" on The Real Story",0,gretchen carlson,polls and public opinion;punditfact,"a ""Gretchen's Take"" on The Real Story","speaker: gretchen carlson | subject: polls and public opinion;punditfact | context: a ""Gretchen's Take"" on The Real Story",0.0,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408
"every democrat who voted againstour own (sic), the only candidate with green.","every democrat who voted againstour own (sic), the only candidate with green.

[METADATA] speaker: john mccain | subject: veterans | context: Denver",0,john mccain,veterans,Denver,speaker: john mccain | subject: veterans | context: Denver,0.20108695328235626,0.20108695328235626,0.16847826540470123,0.17391304671764374,0.21195651590824127,0.043478261679410934
"china is currentlyvaccinated in sight""because they got is no longer exists""to the virus.","china is currentlyvaccinated in sight""because they got is no longer exists""to the virus.

[METADATA] speaker: facebook posts | subject: public health;facebook fact-checks | context: a Facebook post",0,facebook posts,public health;facebook fact-checks,a Facebook post,speaker: facebook posts | subject: public health;facebook fact-checks | context: a Facebook post,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
says alexandria ocasio - cortez tweetedthat a covid - 19 vaccine found dead to the coronavirus vaccine in wuhan.,"says alexandria ocasio - cortez tweetedthat a covid - 19 vaccine found dead to the coronavirus vaccine in wuhan.

[METADATA] speaker: facebook posts | subject: public health;facebook fact-checks;coronavirus | context: a Facebook post",0,facebook posts,public health;facebook fact-checks;coronavirus,a Facebook post,speaker: facebook posts | subject: public health;facebook fact-checks;coronavirus | context: a Facebook post,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
says president is agovernment takeover of obamacare through the government and deny veterans up up.,"says president is agovernment takeover of obamacare through the government and deny veterans up up.

[METADATA] speaker: tammy baldwin | subject: children;families;health care | context: a speech",0,tammy baldwin,children;families;health care,a speech,speaker: tammy baldwin | subject: children;families;health care | context: a speech,0.17241379618644714,0.24137930572032928,0.2586206793785095,0.2068965584039688,0.12068965286016464,0.0
"shredded ballots in washington, is no longer leave the to investigate police.","shredded ballots in washington, is no longer leave the to investigate police.

[METADATA] speaker: facebook posts | subject: fake news;facebook fact-checks | context: a Facebook post",0,facebook posts,fake news;facebook fact-checks,a Facebook post,speaker: facebook posts | subject: fake news;facebook fact-checks | context: a Facebook post,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
wisconsins - controlled unemployment came up by the state of jobs.no jobs have come up.,"wisconsins - controlled unemployment came up by the state of jobs.no jobs have come up.

[METADATA] speaker: barbara buono | subject: jobs | context: a column",0,barbara buono,jobs,a column,speaker: barbara buono | subject: jobs | context: a column,0.1875,0.25,0.25,0.1875,0.0625,0.0625
it is only askingabout 5 years old of our nations (]) to have up to get a day.,"it is only askingabout 5 years old of our nations (]) to have up to get a day.

[METADATA] speaker: leslie curran | subject: poverty;urban | context: a city council meeting",0,leslie curran,poverty;urban,a city council meeting,speaker: leslie curran | subject: poverty;urban | context: a city council meeting,0.0,0.0,0.0,0.0,1.0,0.0
says north carolina were known and marco rubioimmigration illegal immigration.,"says north carolina were known and marco rubioimmigration illegal immigration.

[METADATA] speaker: ted cruz | subject: immigration | context: a press release",0,ted cruz,immigration,a press release,speaker: ted cruz | subject: immigration | context: a press release,0.05095541477203369,0.14012739062309265,0.13375796377658844,0.30573248863220215,0.29936304688453674,0.07006369531154633
"says there hasnt been an employer $ 1 millionfor an additional $ 500, 000 and the american people living for by $ 25.","says there hasnt been an employer $ 1 millionfor an additional $ 500, 000 and the american people living for by $ 25.

[METADATA] speaker: paul ryan | subject: jobs;poverty;welfare;taxes | context: a town hall",0,paul ryan,jobs;poverty;welfare;taxes,a town hall,speaker: paul ryan | subject: jobs;poverty;welfare;taxes | context: a town hall,0.12790697813034058,0.1860465109348297,0.27906978130340576,0.26744186878204346,0.08139535039663315,0.058139536529779434
cdc director president trumps 2020finally for the first time in america for years.,"cdc director president trumps 2020finally for the first time in america for years.

[METADATA] speaker: viral image | subject: facebook fact-checks;coronavirus | context: an Instagram post",0,viral image,facebook fact-checks;coronavirus,an Instagram post,speaker: viral image | subject: facebook fact-checks;coronavirus | context: an Instagram post,0.003487358335405588,0.01133391447365284,0.030514385551214218,0.046207498759031296,0.6198779344558716,0.28857889771461487
"says president trump said,our country should be able to support the corona stores like america.","says president trump said,our country should be able to support the corona stores like america.

[METADATA] speaker: viral image | subject: israel;facebook fact-checks | context: an Instagram post",0,viral image,israel;facebook fact-checks,an Instagram post,speaker: viral image | subject: israel;facebook fact-checks | context: an Instagram post,0.003487358335405588,0.01133391447365284,0.030514385551214218,0.046207498759031296,0.6198779344558716,0.28857889771461487
says a man deleted up the coronavirus vaccinedied from coronavirus.,"says a man deleted up the coronavirus vaccinedied from coronavirus.

[METADATA] speaker: facebook posts | subject: public health;facebook fact-checks;coronavirus | context: a Facebook post",0,facebook posts,public health;facebook fact-checks;coronavirus,a Facebook post,speaker: facebook posts | subject: public health;facebook fact-checks;coronavirus | context: a Facebook post,0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"bill nelson voted against funding for tax breaks(), and the highest interest to stop it.","bill nelson voted against funding for tax breaks(), and the highest interest to stop it.

[METADATA] speaker: sara gideon | subject: campaign finance;ethics;taxes | context: an ad",0,sara gideon,campaign finance;ethics;taxes,an ad,speaker: sara gideon | subject: campaign finance;ethics;taxes | context: an ad,0.0,0.0,0.0,1.0,0.0,0.0
says a lot of proves that hillary clintonwas finally with her legs term in her hands.,"says a lot of proves that hillary clintonwas finally with her legs term in her hands.

[METADATA] speaker: viral image | subject: fake news;facebook fact-checks | context: a post on Facebook",0,viral image,fake news;facebook fact-checks,a post on Facebook,speaker: viral image | subject: fake news;facebook fact-checks | context: a post on Facebook,0.003487358335405588,0.01133391447365284,0.030514385551214218,0.046207498759031296,0.6198779344558716,0.28857889771461487
"in 2011,i am (the) department of business — including a special interests.","in 2011,i am (the) department of business — including a special interests.

[METADATA] speaker: nan rich | subject: children;education;poverty | context: a speech",0,nan rich,children;education;poverty,a speech,speaker: nan rich | subject: children;education;poverty | context: a speech,0.0,0.6000000238418579,0.20000000298023224,0.20000000298023224,0.0,0.0
