synthetic_claim,text,label,speaker,subject,context,conditioning_prompt,true_counts,mostly_true_counts,half_true_counts,mostly_false_counts,false_counts,pants_on_fire_counts
"The COVID-19 vaccine is ""a bioweapon. It's been weaponized against us by scientists and pharmaceutical companies, not for human health or safety but to gain control over our bodies through genetic engineering technology that we can't even understand! This isn’t just about vaccines - it’s also illegal in many countries as being used on humans without consent.""""The pandemic was created with malicious intent from these elite groups of people","The COVID-19 vaccine is ""a bioweapon. It's been weaponized against us by scientists and pharmaceutical companies, not for human health or safety but to gain control over our bodies through genetic engineering technology that we can't even understand! This isn’t just about vaccines - it’s also illegal in many countries as being used on humans without consent.""""The pandemic was created with malicious intent from these elite groups of people

[METADATA] speaker: the gateway pundit | subject: facebook fact-checks;coronavirus | context: a post",0,the gateway pundit,facebook fact-checks;coronavirus,a post,"[CONDITION] Label: FAKE | Speaker: the gateway pundit | Subject: facebook fact-checks;coronavirus | Context: a post
[CLAIM]",0.0416666679084301,0.0416666679084301,0.0416666679084301,0.125,0.625,0.125
"Says a video shows ""anonymous"" people saying, 'I'm not voting. I don't know why they're here.' And then the next one says that it's their way of protesting and getting attention to bring in more votes for Hillary Clinton."" The videos show clips from various protests across America during President Donald Trump’s presidency including police brutality incidents at Marjory Stoneman Douglas High School on","Says a video shows ""anonymous"" people saying, 'I'm not voting. I don't know why they're here.' And then the next one says that it's their way of protesting and getting attention to bring in more votes for Hillary Clinton."" The videos show clips from various protests across America during President Donald Trump’s presidency including police brutality incidents at Marjory Stoneman Douglas High School on

[METADATA] speaker: facebook posts | subject: facebook fact-checks | context: Facebook posts",0,facebook posts,facebook fact-checks,Facebook posts,"[CONDITION] Label: FAKE | Speaker: facebook posts | Subject: facebook fact-checks | Context: Facebook posts
[CLAIM]",0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"Photo shows a group of Ukrainian soldiers attacking NATO tanks. The photo was taken in Ukraine and is now being used as evidence against the Russians during their invasion campaign to stop it from spreading online, according to sources close at large on both sides."" This ""is not what happened"" with Russia's attack videos going live after they were posted for sharing across social media platforms worldwide over two weeks ago today!","Photo shows a group of Ukrainian soldiers attacking NATO tanks. The photo was taken in Ukraine and is now being used as evidence against the Russians during their invasion campaign to stop it from spreading online, according to sources close at large on both sides."" This ""is not what happened"" with Russia's attack videos going live after they were posted for sharing across social media platforms worldwide over two weeks ago today!

[METADATA] speaker: viral image | subject: facebook fact-checks;ukraine | context: an Instagram post",0,viral image,facebook fact-checks;ukraine,an Instagram post,"[CONDITION] Label: FAKE | Speaker: viral image | Subject: facebook fact-checks;ukraine | Context: an Instagram post
[CLAIM]",0.003487358335405588,0.01133391447365284,0.030514385551214218,0.046207498759031296,0.6198779344558716,0.28857889771461487
"Says Obamacare would add to the federal taxes that people pay. If you were in a 1990s economy, it was $1 per person (in) California taxpayers paid for every single one of our healthcare bills today and tomorrow — so now we have more than twice as much government spending because they're not paying less each year."" He said this is why he voted against ObamaCare when President George","Says Obamacare would add to the federal taxes that people pay. If you were in a 1990s economy, it was $1 per person (in) California taxpayers paid for every single one of our healthcare bills today and tomorrow — so now we have more than twice as much government spending because they're not paying less each year."" He said this is why he voted against ObamaCare when President George

[METADATA] speaker: stuart varney | subject: health care;taxes;punditfact | context: an interview on Fox News' ""America's Newsroom""",0,stuart varney,health care;taxes;punditfact,"an interview on Fox News' ""America's Newsroom""","[CONDITION] Label: FAKE | Speaker: stuart varney | Subject: health care;taxes;punditfact | Context: an interview on Fox News' ""America's Newsroom""
[CLAIM]",0.0,0.0,0.0,0.5,0.5,0.0
"Says President Barack Obama said, ""We're going to be the first president in American History that did not have an issue with slavery. It was never acceptable for us and America's people before me"" (2000). He also tweeted about his presidential background saying he has no experience as governor of Florida or mayor city council member since 2016-2021 but is now running again after winning reelection!","Says President Barack Obama said, ""We're going to be the first president in American History that did not have an issue with slavery. It was never acceptable for us and America's people before me"" (2000). He also tweeted about his presidential background saying he has no experience as governor of Florida or mayor city council member since 2016-2021 but is now running again after winning reelection!

[METADATA] speaker: facebook posts | subject: history;facebook fact-checks | context: a post",0,facebook posts,history;facebook fact-checks,a post,"[CONDITION] Label: FAKE | Speaker: facebook posts | Subject: history;facebook fact-checks | Context: a post
[CLAIM]",0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"Says that he ""has never had to fight for a seat in Congress"" because of his family's poverty. He has always said, 'I'm not going anywhere.' ... So it is clear we're dealing with the highest percentage rate ever recorded by any U.S.-based politician since Ronald Reagan came into office.""","Says that he ""has never had to fight for a seat in Congress"" because of his family's poverty. He has always said, 'I'm not going anywhere.' ... So it is clear we're dealing with the highest percentage rate ever recorded by any U.S.-based politician since Ronald Reagan came into office.""

[METADATA] speaker: chris bowers | subject: elections;poverty | context: an interview",0,chris bowers,elections;poverty,an interview,"[CONDITION] Label: FAKE | Speaker: chris bowers | Subject: elections;poverty | Context: an interview
[CLAIM]",0.0,0.0,0.0,0.0,1.0,0.0
"Says Joe Biden tweeted, ""I'm going to be the first president in history who will not speak English. I'll only have a few fluent speakers at my office and that's because of Donald Trump."" He was photographed wearing his headset during this moment on Twitter with President Barack Obama as well! This is what they call 'presidential protocol' or diplomatic etiquette for presidents speaking without their government officials present","Says Joe Biden tweeted, ""I'm going to be the first president in history who will not speak English. I'll only have a few fluent speakers at my office and that's because of Donald Trump."" He was photographed wearing his headset during this moment on Twitter with President Barack Obama as well! This is what they call 'presidential protocol' or diplomatic etiquette for presidents speaking without their government officials present

[METADATA] speaker: viral image | subject: facebook fact-checks | context: an Instagram post",0,viral image,facebook fact-checks,an Instagram post,"[CONDITION] Label: FAKE | Speaker: viral image | Subject: facebook fact-checks | Context: an Instagram post
[CLAIM]",0.003487358335405588,0.01133391447365284,0.030514385551214218,0.046207498759031296,0.6198779344558716,0.28857889771461487
"Says the National Park Service ""has been called to investigate and report on an incident at Yellowstone"" in Montana. The service is now investigating whether or not there was intentional fire during that event, but it has no evidence of this theory being true."" The president's office said they have received information about what happened with wildfires from those who were killed by President Trump’s administration since 2018. President Joe Biden says he","Says the National Park Service ""has been called to investigate and report on an incident at Yellowstone"" in Montana. The service is now investigating whether or not there was intentional fire during that event, but it has no evidence of this theory being true."" The president's office said they have received information about what happened with wildfires from those who were killed by President Trump’s administration since 2018. President Joe Biden says he

[METADATA] speaker: facebook posts | subject: fires;facebook fact-checks | context: a Facebook post",0,facebook posts,fires;facebook fact-checks,a Facebook post,"[CONDITION] Label: FAKE | Speaker: facebook posts | Subject: fires;facebook fact-checks | Context: a Facebook post
[CLAIM]",0.00997091829776764,0.020772745832800865,0.044869132339954376,0.10178645700216293,0.5857914686203003,0.23680931329727173
"Says that 10 percent of all jobs in America are being lost because Americans want more free time. ... And if we're going to make it happen, I believe our economy will be a little bit different than what you see today"" with fewer government-created job opportunities and higher taxes for people who work outside their own country.""","Says that 10 percent of all jobs in America are being lost because Americans want more free time. ... And if we're going to make it happen, I believe our economy will be a little bit different than what you see today"" with fewer government-created job opportunities and higher taxes for people who work outside their own country.""

[METADATA] speaker: david perdue | subject: nbc;economy | context: an interview on NBC's ""Meet the Press Daily""",0,david perdue,nbc;economy,"an interview on NBC's ""Meet the Press Daily""","[CONDITION] Label: FAKE | Speaker: david perdue | Subject: nbc;economy | Context: an interview on NBC's ""Meet the Press Daily""
[CLAIM]",0.0,0.29629629850387573,0.18518517911434174,0.25925925374031067,0.1111111119389534,0.14814814925193787
"Says he ""wants to make the minimum wage $15.50, which is not going anywhere because it's just being out of pocket for people who are already working and paying their own income tax on top 35 percent rate increase from now until then... (he) wants them all in here with no deduction or exemption whatsoever! ...It would be like 'getting' everyone back into your pockets but","Says he ""wants to make the minimum wage $15.50, which is not going anywhere because it's just being out of pocket for people who are already working and paying their own income tax on top 35 percent rate increase from now until then... (he) wants them all in here with no deduction or exemption whatsoever! ...It would be like 'getting' everyone back into your pockets but

[METADATA] speaker: donald trump | subject: taxes | context: comments at a rally",0,donald trump,taxes,comments at a rally,"[CONDITION] Label: FAKE | Speaker: donald trump | Subject: taxes | Context: comments at a rally
[CLAIM]",0.03696098551154137,0.08726899325847626,0.12320328503847122,0.19917865097522736,0.36960986256599426,0.18377824127674103
